AAR,BYDEL,DISTRIKTSNAVN,HUSTYP,FAMILIEGRUPPE,FAMILIETYPE,BRUTTOINDKOM,INDKOMSTKATEGORI,HUSTANDE
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,2,50.000-99.999 kr.,50
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,3,100.000-149.999 kr.,129
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,4,150.000-199.999 kr.,321
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,5,200.000-299.999 kr.,350
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,6,300.000-399.999 kr.,402
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,7,400.000-499.999 kr.,358
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,8,500.000-599.999 kr.,170
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,9,600.000-699.999 kr.,82
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,10,700.000 kr. og derover,94
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,1,-49.999 kr.,41
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,2,50.000-99.999 kr.,37
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,3,100.000-149.999 kr.,94
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,4,150.000-199.999 kr.,169
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,5,200.000-299.999 kr.,748
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,6,300.000-399.999 kr.,719
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,7,400.000-499.999 kr.,677
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,8,500.000-599.999 kr.,658
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,9,600.000-699.999 kr.,601
2014,4,4. Vesterbro/Kongens Enghave,4,Par,Par uden børn,10,700.000 kr. og derover,1771
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,1,-49.999 kr.,21
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,2,50.000-99.999 kr.,13
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,3,100.000-149.999 kr.,16
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,4,150.000-199.999 kr.,35
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,5,200.000-299.999 kr.,108
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,6,300.000-399.999 kr.,138
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,7,400.000-499.999 kr.,198
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,8,500.000-599.999 kr.,266
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,9,600.000-699.999 kr.,316
2014,4,4. Vesterbro/Kongens Enghave,5,Par,Par 1 barn,10,700.000 kr. og derover,1080
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,1,-49.999 kr.,8
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,2,50.000-99.999 kr.,7
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,3,100.000-149.999 kr.,6
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,4,150.000-199.999 kr.,23
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,5,200.000-299.999 kr.,54
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,6,300.000-399.999 kr.,116
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,7,400.000-499.999 kr.,143
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,8,500.000-599.999 kr.,189
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,9,600.000-699.999 kr.,219
2014,4,4. Vesterbro/Kongens Enghave,6,Par,Par 2 børn,10,700.000 kr. og derover,1079
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,1,-49.999 kr.,5
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,2,50.000-99.999 kr.,1
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,3,100.000-149.999 kr.,2
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,4,150.000-199.999 kr.,4
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,5,200.000-299.999 kr.,21
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,6,300.000-399.999 kr.,52
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,7,400.000-499.999 kr.,52
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,8,500.000-599.999 kr.,49
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,9,600.000-699.999 kr.,55
2014,4,4. Vesterbro/Kongens Enghave,7,Par,Par 3 eller flere børn,10,700.000 kr. og derover,248
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,1,-49.999 kr.,99
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,2,50.000-99.999 kr.,61
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,3,100.000-149.999 kr.,136
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,4,150.000-199.999 kr.,217
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,5,200.000-299.999 kr.,658
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,6,300.000-399.999 kr.,703
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,7,400.000-499.999 kr.,665
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,8,500.000-599.999 kr.,601
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,9,600.000-699.999 kr.,524
2014,4,4. Vesterbro/Kongens Enghave,8,Hustande med 2 eller flere familier,,10,700.000 kr. og derover,1252
2014,5,5. Valby,1,Enlige,Enlige uden børn,1,-49.999 kr.,214
2014,5,5. Valby,1,Enlige,Enlige uden børn,2,50.000-99.999 kr.,374
2014,5,5. Valby,1,Enlige,Enlige uden børn,3,100.000-149.999 kr.,1408
2014,5,5. Valby,1,Enlige,Enlige uden børn,4,150.000-199.999 kr.,2917
2014,5,5. Valby,1,Enlige,Enlige uden børn,5,200.000-299.999 kr.,2367
2014,5,5. Valby,1,Enlige,Enlige uden børn,6,300.000-399.999 kr.,2062
2014,5,5. Valby,1,Enlige,Enlige uden børn,7,400.000-499.999 kr.,1115
2014,5,5. Valby,1,Enlige,Enlige uden børn,8,500.000-599.999 kr.,475
2014,5,5. Valby,1,Enlige,Enlige uden børn,9,600.000-699.999 kr.,205
2014,5,5. Valby,1,Enlige,Enlige uden børn,10,700.000 kr. og derover,220
2014,5,5. Valby,2,Enlige,Enlige med børn,1,-49.999 kr.,19
2014,5,5. Valby,2,Enlige,Enlige med børn,2,50.000-99.999 kr.,22
2014,5,5. Valby,2,Enlige,Enlige med børn,3,100.000-149.999 kr.,120
